Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
21,21,22-Apr,@,STL,"L,2-9",33,33,2,5,1,0,0,2,0,0,8,0,0,0,1,0,0,0,0.22,0.299,0.309,0.609,4,13,R,M.Mikolas (67)
22,22,23-Apr,,ATL,"W,10-4",42,34,10,10,1,0,1,10,8,0,11,0,0,0,0,0,1,0,0.224,0.306,0.314,0.62,8,13,R,M.Foltynewicz (53)
23,23,24-Apr,,ATL,"W,9-7",49,42,9,12,1,0,3,8,4,1,7,0,2,1,1,0,2,0,0.227,0.308,0.326,0.634,7,15,R,B.McCarthy (39)
24,24,25-Apr,,ATL,"L,4-5",41,37,4,12,3,0,1,4,4,1,3,0,0,0,0,2,0,0,0.231,0.312,0.333,0.645,10,15,R,M.Wisler (30)
25,25,26-Apr,,ATL,"L,4-7",37,33,4,6,1,0,1,4,4,0,10,0,0,0,0,0,0,0,0.229,0.31,0.332,0.642,6,18,L,S.Newcomb (50)
26,26,27-Apr,@,MIN,"W,15-9",54,45,15,20,5,1,3,14,6,0,8,1,0,2,1,1,0,0,0.24,0.32,0.356,0.676,12,9,R,P.Hughes (36)
27,27,28-Apr,@,MIN,"L,1-3",37,32,1,6,2,0,1,1,5,1,4,0,0,0,0,1,0,0,0.239,0.319,0.355,0.675,9,11,R,J.Odorizzi (59)
28,28,29-Apr,@,MIN,"W,8-2",45,41,8,14,3,0,1,8,4,0,6,0,0,0,0,0,1,0,0.243,0.323,0.361,0.684,10,10,R,J.Berrios (30)
29,29,30-Apr,,MIL,"L,5-6",38,31,5,7,4,0,0,5,5,0,12,1,0,1,0,1,0,1,0.242,0.324,0.361,0.684,6,15,R,J.Chacin (35)
30,30,01-May,,MIL,"L,6-7",43,35,6,11,0,0,2,6,6,0,6,0,1,1,1,0,2,1,0.245,0.326,0.365,0.691,10,16,R,C.Anderson (40)
31,31,02-May,,MIL,"L,1-3",35,30,1,4,1,0,0,1,5,0,4,0,0,0,0,1,0,0,0.242,0.324,0.359,0.684,7,15,L,W.Miley (63)
32,32,04-May,,MIA,"W,4-1",37,30,4,7,2,0,2,4,7,0,6,0,0,0,0,1,0,0,0.241,0.326,0.363,0.689,9,15,L,W.Chen (34)
33,33,05-May,,MIA,"L,0-6",31,29,0,4,1,0,0,0,2,0,10,0,0,0,2,4,0,0,0.239,0.323,0.358,0.681,4,14,L,C.Smith (69)
34,34,06-May,,MIA,"L,5-8",42,36,5,9,4,0,1,5,5,0,8,0,1,0,1,0,0,0,0.239,0.323,0.361,0.684,10,17,R,D.Straily (46)
35,35,07-May,,NYM,"L,6-7",37,34,6,8,3,0,3,6,2,0,3,0,0,1,0,0,0,0,0.239,0.322,0.367,0.689,4,15,L,P.Conlon (40)
36,36,08-May,,NYM,"W,7-2",39,34,7,12,2,1,1,7,3,0,3,1,1,0,0,1,0,0,0.242,0.325,0.373,0.697,8,15,L,J.Vargas (33)
37,37,09-May,,NYM,"W,2-1",35,31,2,5,0,0,1,2,3,0,9,0,1,0,0,0,0,0,0.24,0.322,0.37,0.692,6,14,R,Z.Wheeler (64)
38,38,10-May,@,LAD,"W,4-1",37,36,4,9,2,1,1,4,0,0,9,0,1,0,1,0,0,0,0.24,0.321,0.372,0.693,6,14,R,W.Buehler (62)
39,39,11-May,@,LAD,"W,6-2",43,36,6,10,3,0,1,6,5,0,7,1,0,1,0,0,1,0,0.241,0.322,0.374,0.696,10,16,R,K.Maeda (29)
40,40,12-May,@,LAD,"W,5-3",41,40,5,13,2,0,1,5,0,0,10,0,1,0,1,0,0,0,0.244,0.322,0.376,0.698,9,14,R,R.Stripling (55)
41,41,13-May,@,LAD,"W,5-3",43,36,5,9,1,0,2,5,6,1,7,0,1,0,2,1,4,0,0.244,0.323,0.378,0.701,11,12,L,R.Hill (47)
42,42,14-May,@,SFG,"L,7-10",40,37,7,13,3,0,3,7,2,0,5,1,0,0,0,2,0,1,0.247,0.325,0.386,0.711,6,15,R,C.Stratton (32)
43,43,15-May,@,SFG,"L,3-5",35,32,3,7,2,0,1,3,1,0,9,1,1,0,1,1,0,1,0.246,0.324,0.385,0.709,5,15,L,T.Blach (44)
44,44,16-May,@,SFG,"W,6-3",37,35,6,9,1,0,2,5,1,0,7,0,1,0,0,0,0,0,0.247,0.323,0.387,0.71,4,13,L,A.Suarez (42)
45,45,18-May,,CHC,"L,1-8",31,28,1,2,0,0,1,1,3,0,15,0,0,0,0,1,0,0,0.243,0.32,0.383,0.703,3,13,L,J.Lester (71)
46,46,May 19 (1),,CHC,"W,5-4",45,36,5,8,3,0,0,5,7,1,12,0,1,1,1,1,2,0,0.243,0.32,0.381,0.702,10,18,R,K.Hendricks (45)
47,47,May 19 (2),,CHC,"L,0-10",32,28,0,3,0,0,0,0,4,0,10,0,0,0,0,2,0,0,0.24,0.319,0.377,0.695,5,14,L,J.Quintana (78)
48,48,20-May,,CHC,"L,1-6",34,29,1,3,0,0,0,1,3,0,13,2,0,0,0,1,0,0,0.238,0.317,0.372,0.689,6,14,R,Y.Darvish (68)
49,49,22-May,,PIT,"W,7-2",35,32,7,9,4,0,1,7,1,1,12,1,0,1,0,0,1,0,0.239,0.317,0.374,0.691,4,15,R,J.Taillon (39)
50,50,23-May,,PIT,"L,4-5",53,46,4,11,1,0,1,4,5,1,11,1,0,1,0,0,0,0,0.239,0.317,0.373,0.69,13,18,R,C.Kuhl (63)
51,51,24-May,,PIT,"W,5-4",35,32,5,8,1,0,2,5,3,0,6,0,0,0,1,1,0,0,0.239,0.317,0.375,0.692,6,14,R,I.Nova (38)
52,52,25-May,@,COL,"L,4-5",38,34,4,8,1,0,1,4,3,0,11,1,0,0,0,1,1,0,0.239,0.317,0.374,0.691,7,13,R,J.Gray (49)
53,53,26-May,@,COL,"W,6-5",39,36,6,11,0,1,2,5,3,0,4,0,0,0,0,1,0,1,0.24,0.318,0.377,0.695,6,15,L,T.Anderson (47)
54,54,27-May,@,COL,"L,2-8",38,33,2,9,2,0,0,1,5,0,7,0,0,0,0,2,0,0,0.241,0.319,0.377,0.695,9,16,R,G.Marquez (67)
55,55,28-May,@,ARI,"L,5-12",41,37,5,16,2,0,0,5,1,0,1,1,2,0,0,3,0,0,0.245,0.321,0.379,0.7,9,15,R,M.Koch (24)
56,56,29-May,@,ARI,"L,2-5",35,32,2,7,1,0,1,2,2,0,10,1,0,0,1,3,0,0,0.244,0.321,0.378,0.699,6,13,R,Z.Godley (57)
57,57,30-May,@,ARI,"W,7-4",43,39,7,12,0,0,2,7,3,0,11,0,1,0,1,1,1,0,0.245,0.322,0.38,0.701,9,15,L,P.Corbin (41)
58,58,01-Jun,@,SDP,"W,7-2",41,34,7,8,2,0,1,6,7,0,4,0,0,0,0,1,1,0,0.245,0.322,0.38,0.702,7,12,R,W.Lockett (34)
59,59,02-Jun,@,SDP,"L,2-8",36,33,2,8,2,0,2,2,2,0,12,1,0,0,0,1,0,0,0.245,0.322,0.382,0.704,7,14,L,E.Lauer (55)
60,60,03-Jun,@,SDP,"L,3-6",39,37,3,12,0,1,2,3,2,0,7,0,0,0,0,1,0,1,0.247,0.323,0.384,0.707,9,16,R,T.Ross (46)
61,61,05-Jun,,COL,"L,6-9",43,42,6,17,1,0,1,6,1,0,10,0,0,0,0,0,0,0,0.25,0.324,0.387,0.711,10,16,L,K.Freeland (50)
62,62,06-Jun,,COL,"L,3-6",43,37,3,11,3,0,0,3,5,0,12,0,0,1,0,0,0,0,0.251,0.325,0.387,0.712,13,15,R,J.Gray (43)
63,63,07-Jun,,COL,"W,7-5",50,42,7,10,2,0,1,6,5,0,9,2,1,0,0,3,0,0,0.25,0.326,0.386,0.712,6,19,L,T.Anderson (63)
64,64,08-Jun,,STL,"L,6-7",48,40,6,13,3,0,0,6,8,1,8,0,0,0,0,2,0,1,0.252,0.328,0.386,0.714,12,17,R,L.Weaver (35)
65,65,09-Jun,,STL,"L,4-6",41,37,4,10,4,0,2,4,4,0,10,0,0,0,0,0,0,0,0.252,0.328,0.389,0.717,10,14,R,M.Wacha (56)
66,66,10-Jun,,STL,"W,6-3",38,26,6,5,0,1,0,6,11,0,10,1,0,0,0,0,0,2,0.251,0.33,0.387,0.717,8,13,R,C.Martinez (31)
67,67,12-Jun,@,KCR,"W,5-1",43,37,5,8,0,1,1,5,6,1,5,0,0,0,0,1,0,0,0.251,0.33,0.387,0.717,8,9,R,I.Kennedy (78)
68,68,13-Jun,@,KCR,"W,7-0",38,36,7,9,2,0,1,6,0,0,3,1,1,0,2,1,0,0,0.251,0.329,0.387,0.716,4,11,R,J.Hammel (57)
69,69,15-Jun,@,PIT,"L,2-3",39,34,2,7,1,0,0,1,3,1,10,0,1,1,3,1,1,0,0.25,0.328,0.385,0.713,10,13,R,C.Kuhl (57)
70,70,16-Jun,@,PIT,"L,2-6",39,35,2,7,1,0,2,2,4,1,6,0,0,0,1,0,0,0,0.249,0.327,0.385,0.712,10,14,R,I.Nova (58)
71,71,17-Jun,@,PIT,"W,8-6",41,38,8,13,2,0,2,8,3,0,10,0,0,0,0,0,2,1,0.251,0.328,0.388,0.716,6,14,R,J.Musgrove (28)
72,72,19-Jun,,DET,"W,9-5",45,37,9,13,3,0,2,9,6,0,9,2,0,0,0,0,0,0,0.252,0.331,0.391,0.721,12,15,L,M.Boyd (32)
73,73,20-Jun,,DET,"W,5-3",38,33,5,10,2,0,3,5,4,0,10,1,0,0,0,0,0,1,0.253,0.331,0.394,0.725,9,15,R,M.Fulmer (54)
74,74,21-Jun,,CHC,"W,6-2",34,29,6,7,0,0,1,6,4,0,5,1,0,0,0,2,2,0,0.253,0.332,0.393,0.725,4,15,R,K.Hendricks (48)
75,75,22-Jun,,CHC,"W,6-3",38,34,6,12,2,0,1,6,4,0,4,0,0,0,0,1,3,1,0.254,0.333,0.395,0.728,8,14,L,J.Quintana (34)
76,76,23-Jun,,CHC,"W,11-2",40,34,11,11,1,1,3,11,6,1,10,0,0,0,0,1,1,0,0.255,0.334,0.398,0.733,5,14,R,L.Farrell (44)
77,77,24-Jun,,CHC,"W,8-6",40,34,8,11,2,0,2,8,6,1,8,0,0,0,0,0,0,0,0.256,0.335,0.4,0.736,8,17,L,M.Montgomery (48)
78,78,25-Jun,@,ATL,"L,4-5",47,37,4,6,1,0,1,4,8,1,5,0,2,0,0,0,0,0,0.255,0.335,0.399,0.734,10,17,R,M.Foltynewicz (61)
79,79,26-Jun,@,ATL,"W,5-3",42,37,5,10,2,1,0,5,5,1,9,0,0,0,0,0,2,0,0.255,0.335,0.398,0.734,10,14,R,A.Sanchez (50)
80,80,27-Jun,@,ATL,"W,6-5",41,37,6,11,1,1,1,6,4,0,8,0,0,0,0,1,0,0,0.256,0.336,0.399,0.735,8,18,L,S.Newcomb (50)
81,81,28-Jun,,MIL,"L,4-6",38,35,4,9,3,0,2,4,2,0,11,0,1,0,0,0,1,0,0.256,0.335,0.401,0.736,7,12,R,J.Guerra (45)
82,82,29-Jun,,MIL,"L,2-8",33,31,2,6,0,0,1,2,2,0,8,0,0,0,0,2,0,0,0.255,0.334,0.399,0.734,4,13,R,C.Anderson (68)
83,83,30-Jun,,MIL,"W,12-3",45,36,12,15,1,0,1,12,7,1,8,0,0,2,0,0,0,0,0.257,0.336,0.401,0.737,9,17,R,J.Chacin (57)
84,84,01-Jul,,MIL,"W,8-2",37,33,8,10,2,0,1,8,3,0,8,1,0,0,0,1,0,0,0.257,0.337,0.402,0.739,5,15,R,F.Peralta (47)
85,85,02-Jul,,CHW,"W,5-3",39,31,5,7,3,0,1,5,7,0,5,0,0,1,0,0,0,0,0.257,0.337,0.402,0.739,10,16,R,J.Shields (61)
86,86,03-Jul,,CHW,"L,8-12",52,46,8,10,1,1,3,7,5,0,15,0,1,0,1,0,1,0,0.256,0.337,0.403,0.74,8,20,R,L.Giolito (23)
87,87,04-Jul,,CHW,"W,7-4",38,32,7,8,1,0,0,6,3,0,8,2,1,0,1,0,0,0,0.256,0.337,0.402,0.738,7,14,R,D.Covey (28)
88,88,06-Jul,@,CHC,"W,3-2",39,32,3,9,0,0,0,2,4,0,7,2,0,1,0,2,1,1,0.257,0.337,0.4,0.738,9,12,L,M.Montgomery (43)
89,89,07-Jul,@,CHC,"L,7-8",41,37,7,11,1,0,1,5,4,0,7,0,0,0,0,1,4,0,0.257,0.338,0.401,0.738,7,13,R,T.Chatwood (23)
90,90,08-Jul,@,CHC,"L,5-6",40,34,5,8,1,0,2,4,4,0,6,1,1,0,0,2,4,0,0.257,0.338,0.401,0.738,5,17,L,J.Lester (44)
91,91,09-Jul,@,CLE,"W,7-5",41,37,7,12,2,0,2,7,4,0,11,0,0,0,1,2,1,1,0.258,0.338,0.403,0.741,7,9,R,M.Clevinger (46)
92,92,10-Jul,@,CLE,"W,7-4",41,33,7,8,2,0,0,7,7,2,13,1,0,0,0,1,0,0,0.258,0.339,0.402,0.74,7,11,R,T.Bauer (84)
93,93,11-Jul,@,CLE,"L,4-19",40,36,4,11,1,1,2,4,3,0,11,0,0,1,0,1,0,0,0.258,0.339,0.403,0.742,9,12,R,C.Carrasco (59)
94,94,13-Jul,@,STL,"W,9-1",45,40,9,14,7,0,2,9,4,1,5,1,0,0,0,1,0,0,0.259,0.34,0.407,0.746,9,16,R,C.Martinez (45)
95,95,14-Jul,@,STL,"W,8-2",48,40,8,14,2,0,0,8,5,1,9,3,0,0,2,1,0,1,0.26,0.341,0.407,0.748,13,18,R,J.Flaherty (65)
96,96,15-Jul,@,STL,"L,4-6",39,34,4,8,1,0,0,4,4,0,6,1,0,0,0,1,0,0,0.26,0.341,0.405,0.746,8,15,R,M.Mikolas (38)
97,97,20-Jul,,PIT,"L,1-12",36,35,1,9,2,0,0,1,1,0,12,0,0,0,0,1,0,0,0.26,0.341,0.404,0.745,8,17,R,J.Taillon (57)
