Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
151,151,17-Sep,,CIN,"W,8-0",38,34,8,11,3,1,2,8,3,0,7,0,0,1,2,1,0,1,0.251,0.32,0.42,0.741,6,15,R,A.DeSclafani (40)
152,152,18-Sep,,CIN,"L,1-3",31,28,1,3,0,0,0,0,2,0,11,1,0,0,0,2,2,0,0.25,0.32,0.419,0.738,3,22,R,M.Lorenzen (60)
153,153,19-Sep,,CIN,"W,7-0",34,31,7,7,1,1,2,7,3,1,7,0,0,0,0,0,1,0,0.25,0.32,0.419,0.739,3,14,R,M.Harvey (29)
154,154,21-Sep,@,PIT,"W,8-3",42,36,8,10,2,0,4,8,5,1,5,1,0,0,0,1,0,0,0.25,0.32,0.421,0.741,7,19,R,I.Nova (53)
155,155,22-Sep,@,PIT,"L,0-3",32,31,0,5,1,0,0,0,1,0,11,0,0,0,1,1,0,1,0.25,0.319,0.42,0.739,5,19,R,T.Williams (70)
156,156,23-Sep,@,PIT,"W,13-6",50,39,13,12,2,0,3,9,9,0,6,2,0,0,1,1,2,0,0.25,0.32,0.421,0.741,10,20,R,N.Kingham (18)
157,157,24-Sep,@,STL,"W,6-4",41,33,6,9,1,1,1,5,6,1,7,1,0,1,0,1,0,0,0.25,0.321,0.421,0.742,8,23,R,J.Flaherty (51)
158,158,25-Sep,@,STL,"W,12-4",49,45,12,15,2,1,4,12,4,2,9,0,0,0,3,0,0,0,0.251,0.321,0.423,0.745,10,21,L,A.Gomber (33)
159,159,26-Sep,@,STL,"W,2-1",39,31,2,5,0,0,0,2,8,0,8,0,0,0,1,1,1,0,0.251,0.322,0.422,0.743,10,16,R,J.Gant (50)
160,160,28-Sep,,DET,"W,6-5",35,32,6,11,2,0,3,6,2,0,9,0,1,0,0,1,0,0,0.251,0.322,0.423,0.745,5,18,R,J.Zimmermann (28)
161,161,29-Sep,,DET,"W,6-5",37,32,6,8,1,0,2,6,4,0,12,0,1,0,1,0,0,0,0.251,0.322,0.424,0.746,7,22,L,D.Norris (38)
162,162,30-Sep,,DET,"W,11-0",41,36,11,12,3,0,2,10,4,1,9,0,0,1,0,0,2,0,0.252,0.322,0.425,0.747,6,16,R,S.Turnbull (47)
163,163,01-Oct,@,CHC,"W,3-1",36,34,3,12,1,0,0,3,0,0,6,0,2,0,0,2,1,1,0.252,0.323,0.424,0.747,6,16,L,J.Quintana (55)
