Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
149,149,17-Sep,,KCR,"W,7-6",44,41,7,16,1,1,0,6,3,0,8,0,0,0,0,1,0,0,0.254,0.318,0.406,0.724,11,15,R,B.Keller (42)
150,150,18-Sep,,KCR,"W,2-1",42,38,2,9,1,0,1,2,3,1,4,0,1,0,1,0,0,2,0.254,0.318,0.406,0.723,9,19,L,E.Skoglund (68)
151,151,19-Sep,,KCR,"W,2-1",31,30,2,9,3,0,1,2,0,0,6,0,0,1,0,0,1,1,0.254,0.318,0.406,0.724,5,12,R,H.Fillmyer (58)
152,152,21-Sep,,MIL,"L,3-8",34,32,3,7,1,1,2,3,2,0,7,0,0,0,0,1,0,1,0.254,0.317,0.407,0.724,4,17,R,J.Chacin (42)
153,153,22-Sep,,MIL,"W,3-0",34,30,3,10,1,0,0,3,3,0,7,1,0,0,0,2,0,2,0.254,0.318,0.406,0.724,7,15,R,Z.Davies (48)
154,154,23-Sep,,MIL,"L,6-13",35,33,6,6,2,0,1,6,1,0,9,1,0,0,1,1,0,0,0.254,0.317,0.406,0.723,2,19,L,W.Miley (40)
155,155,24-Sep,@,CHC,"W,5-1",39,33,5,7,2,0,2,5,5,0,9,0,1,0,0,0,0,0,0.254,0.317,0.406,0.723,7,13,L,C.Hamels (57)
156,156,25-Sep,@,CHC,"W,6-0",45,37,6,10,4,0,1,6,7,0,9,1,0,0,1,1,0,0,0.254,0.318,0.407,0.724,12,13,L,M.Montgomery (30)
157,157,26-Sep,@,CHC,"L,6-7",42,38,6,10,2,1,2,6,4,1,7,0,0,0,0,2,0,0,0.254,0.318,0.407,0.725,6,19,L,J.Quintana (55)
158,158,27-Sep,@,CHC,"L,0-3",36,31,0,4,1,0,0,0,5,0,5,0,0,0,1,1,1,0,0.253,0.318,0.406,0.724,9,13,L,J.Lester (65)
159,159,28-Sep,@,CIN,"W,8-4",43,39,8,13,3,0,2,8,2,0,10,0,0,2,1,0,0,0,0.254,0.318,0.407,0.725,8,15,R,A.DeSclafani (54)
