Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
97,97,Jul 21 (1),@,CHC,"L,2-7",36,27,2,2,0,0,1,2,6,1,3,1,1,1,1,1,2,0,0.247,0.318,0.406,0.724,7,15,R,T.Chatwood (58)
98,98,Jul 21 (2),@,CHC,"W,6-3",43,35,6,10,2,0,1,6,7,1,7,0,0,1,0,1,2,0,0.247,0.319,0.406,0.725,10,18,L,M.Montgomery (59)
99,99,22-Jul,@,CHC,"L,2-7",38,32,2,8,3,0,0,2,4,2,8,0,1,1,0,1,0,0,0.247,0.319,0.406,0.724,9,14,L,J.Quintana (59)
100,100,23-Jul,@,CIN,"L,1-2",32,30,1,5,2,0,0,1,1,0,8,1,0,0,0,1,0,0,0.247,0.318,0.404,0.722,4,13,R,L.Castillo (60)
101,101,24-Jul,@,CIN,"W,4-2",46,40,4,8,3,0,1,4,6,0,11,0,0,0,0,1,1,0,0.246,0.318,0.404,0.721,9,17,R,H.Bailey (62)
102,102,25-Jul,@,CIN,"L,3-7",41,38,3,10,1,0,2,3,3,0,7,0,0,0,1,0,0,0,0.246,0.318,0.404,0.722,11,14,R,S.Romano (54)
103,103,27-Jul,,CHC,"W,5-2",37,33,5,12,2,1,0,5,3,1,7,1,0,0,0,2,0,1,0.247,0.319,0.405,0.724,8,14,L,M.Montgomery (25)
104,104,28-Jul,,CHC,"W,6-2",35,31,6,9,1,0,1,6,4,0,8,0,0,0,0,1,0,0,0.248,0.319,0.405,0.724,5,14,L,J.Quintana (22)
105,105,29-Jul,,CHC,"L,2-5",33,32,2,5,2,0,1,2,1,0,9,0,0,0,0,0,0,0,0.247,0.318,0.404,0.722,4,14,R,K.Hendricks (69)
106,106,30-Jul,,COL,"W,5-4",40,35,5,7,0,0,2,5,5,1,9,0,0,0,0,0,1,0,0.247,0.318,0.404,0.722,7,16,L,T.Anderson (52)
107,107,31-Jul,,COL,"L,3-6",32,29,3,4,0,0,1,2,2,0,6,0,0,1,0,1,0,0,0.246,0.317,0.403,0.719,2,15,R,J.Gray (63)
108,108,01-Aug,,COL,"W,6-3",41,37,6,13,2,0,0,6,4,0,9,0,0,0,0,0,3,0,0.247,0.318,0.403,0.72,11,17,L,K.Freeland (40)
109,109,02-Aug,,COL,"W,3-2",36,31,3,8,0,0,0,3,3,0,7,1,0,1,0,1,1,1,0.247,0.318,0.401,0.719,8,14,R,A.Senzatela (61)
110,110,03-Aug,@,PIT,"L,6-7",49,41,6,15,3,0,1,6,6,2,8,2,0,0,1,0,0,0,0.248,0.32,0.403,0.722,16,16,R,C.Archer (35)
111,111,04-Aug,@,PIT,"W,8-4",47,40,8,14,7,0,1,8,7,1,5,0,0,0,0,0,1,0,0.249,0.321,0.405,0.726,12,14,R,I.Nova (30)
112,112,05-Aug,@,PIT,"W,2-1",38,37,2,10,0,0,1,2,1,0,6,0,0,0,1,1,1,0,0.249,0.321,0.404,0.725,9,14,R,T.Williams (44)
113,113,06-Aug,@,MIA,"L,1-2",38,33,1,7,0,0,0,1,4,0,7,0,0,0,0,1,0,0,0.249,0.321,0.402,0.723,10,12,L,W.Chen (69)
