Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
139,139,05-Sep,@,MIL,"W,6-4",36,35,6,13,1,0,2,5,1,0,8,0,0,0,0,2,0,0,0.263,0.339,0.422,0.761,3,16,R,J.Chacin (38)
140,140,06-Sep,@,WSN,"W,6-4",47,40,6,11,3,0,0,6,4,1,10,2,0,1,0,0,1,0,0.263,0.339,0.422,0.76,11,22,R,S.Strasburg (50)
141,141,Sep 8 (1),@,WSN,"L,3-10",36,34,3,9,1,0,0,3,0,0,11,1,0,1,0,1,0,0,0.263,0.338,0.421,0.759,6,21,R,M.Scherzer (68)
142,142,Sep 8 (2),@,WSN,"L,5-6",37,31,5,6,2,0,1,5,4,2,12,2,0,0,0,2,2,0,0.263,0.338,0.42,0.759,5,19,R,J.Rodriguez (46)
143,143,10-Sep,,MIL,"L,2-3",35,30,2,5,2,0,0,2,4,0,9,0,0,1,0,1,1,0,0.262,0.338,0.419,0.757,6,18,L,W.Miley (49)
144,144,11-Sep,,MIL,"W,3-0",30,27,3,3,1,0,0,2,2,0,10,0,1,0,1,0,1,0,0.261,0.337,0.418,0.755,3,15,R,J.Chacin (63)
145,145,12-Sep,,MIL,"L,1-5",35,32,1,6,1,0,0,1,3,0,10,0,0,0,0,0,0,1,0.261,0.336,0.416,0.753,7,18,R,C.Anderson (59)
146,146,13-Sep,@,WSN,"W,4-3",42,37,4,10,2,0,1,4,4,1,4,1,0,0,1,1,0,1,0.261,0.337,0.416,0.753,8,21,R,J.Ross (49)
147,147,14-Sep,,CIN,"W,3-2",35,32,3,7,2,0,1,3,2,0,7,1,0,0,1,1,0,0,0.261,0.336,0.416,0.752,8,14,R,M.Harvey (69)
148,148,15-Sep,,CIN,"W,1-0",31,28,1,4,0,0,0,1,2,0,13,1,0,0,0,0,0,0,0.26,0.336,0.415,0.75,6,15,L,C.Reed (71)
149,149,16-Sep,,CIN,"L,1-2",34,28,1,5,1,0,0,1,4,0,3,1,0,1,0,2,0,0,0.26,0.335,0.414,0.749,6,15,R,L.Castillo (60)
150,150,17-Sep,@,ARI,"W,5-1",37,35,5,9,1,0,2,5,1,0,10,0,1,0,0,0,0,0,0.26,0.335,0.414,0.749,5,11,L,P.Corbin (56)
151,151,18-Sep,@,ARI,"W,9-1",42,39,9,12,3,0,2,9,2,0,14,0,0,1,2,1,0,0,0.26,0.335,0.415,0.75,6,17,R,M.Andriese (30)
152,152,19-Sep,@,ARI,"L,0-9",32,28,0,1,0,0,0,0,4,0,10,0,0,0,1,1,0,0,0.259,0.334,0.413,0.747,5,16,L,R.Ray (74)
153,153,21-Sep,@,CHW,"L,4-10",39,37,4,9,1,0,1,3,2,0,9,0,0,0,1,0,0,0,0.259,0.334,0.412,0.746,8,13,R,R.Lopez (71)
154,154,22-Sep,@,CHW,"W,8-3",41,37,8,9,2,0,1,7,4,1,7,0,0,0,0,0,0,0,0.258,0.334,0.412,0.746,6,11,R,L.Giolito (42)
155,155,23-Sep,@,CHW,"W,6-1",47,42,6,15,4,0,1,6,4,1,9,1,0,0,0,0,1,0,0.259,0.334,0.413,0.747,14,10,L,C.Rodon (18)
156,156,24-Sep,,PIT,"L,1-5",36,33,1,7,0,0,1,1,3,0,7,0,0,0,0,1,0,0,0.259,0.334,0.412,0.746,8,16,R,J.Taillon (65)
157,157,25-Sep,,PIT,"L,0-6",34,31,0,5,1,0,0,0,2,0,10,1,0,0,0,1,0,0,0.258,0.333,0.411,0.744,7,19,R,C.Archer (71)
158,158,26-Sep,,PIT,"W,7-6",44,37,7,12,0,0,1,7,4,1,6,0,2,1,1,1,1,0,0.259,0.334,0.411,0.745,8,19,R,I.Nova (25)
159,159,27-Sep,,PIT,"W,3-0",35,32,3,10,4,1,0,3,3,0,7,0,0,0,0,0,1,1,0.259,0.334,0.412,0.746,8,16,R,T.Williams (40)
160,160,28-Sep,,STL,"W,8-4",38,31,8,8,1,0,1,8,4,0,8,1,0,2,1,0,0,0,0.259,0.334,0.411,0.745,6,12,R,A.Wainwright (47)
161,161,29-Sep,,STL,"L,1-2",31,31,1,5,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0.259,0.333,0.41,0.743,3,12,R,M.Mikolas (76)
162,162,30-Sep,,STL,"W,10-5",41,35,10,12,5,1,1,8,6,1,8,0,0,0,1,1,0,0,0.259,0.334,0.411,0.745,7,21,R,J.Flaherty (34)
163,163,01-Oct,,MIL,"L,1-3",31,28,1,3,0,0,1,1,3,0,8,0,0,0,0,2,0,0,0.258,0.333,0.41,0.744,3,18,R,J.Chacin (64)
